codigo_postal,municipio_id,nombre_entidad_singular
04277,04093,"ROYO MORERA"
04278,04086,"MARTINEZ (LOS)"
04279,04086,"HERRERIA (LA)"
04279,04090,"RAMBLA DEL MARQUES"
04279,04095,ZOFRE
04280,04048,"GALLARDOS (LOS)"
04288,04022,"PINAR (EL)"
04288,04048,"PERULACA (LA)"
04289,04022,"GILES (LOS)"
04289,04048,"GALLARDOS (LOS)"
04289,04086,"HUELGA (LA)"
04400,04011,"ALHAMA DE ALMERIA"
04409,04012,ALICUN
04409,04051,HUECIJA
04410,04024,BENAHADUX
04420,04081,"SANTA FE DE MONDUJAR"
04430,04055,INSTINCION
04431,04054,ILLAR
04440,04077,RAGOL
04450,04030,CANJAYAR
04450,04050,GERGAL
04458,04014,ALMOCITA
04458,04023,BEIRES
04458,04071,PADULES
04459,04067,TICES
04460,04046,FONDON
04470,04057,"LAUJAR DE ANDARAX"
04479,04020,BAYARCAL
04479,04046,"FUENTE VICTORIA"
04479,04073,"PATERNA DEL RIO"
04480,04007,ALCOLEA
04500,04045,"VENTA RATONERA"
04510,04001,MONTAGON
04520,04002,ABRUCENA
04530,04901,OCAÑA
04531,04005,ALBOLODUY
04532,04901,SANTILLANA
04533,04002,"CAMINO REAL"
04540,04065,"SANCHOS (LOS)"
04549,04050,GERGAL
04550,04050,PORTOCARRERO
04558,04005,"ALCUBILLAS ALTAS (LAS)"
04558,04050,"ESTACION (LA)"
04559,04050,"TABLAS (LAS)"
04560,04047,GADOR
04567,04010,ALHABIA
04568,04015,ALSODUX
04568,04080,"SANTA CRUZ DE MARCHENA"
04569,04028,BENTARIQUE
04569,04091,TERQUE
04600,04006,ALBOX
04600,04053,HUERCAL-OVERA
04610,04035,JUCAINI
04616,04035,VILLARICOS
04617,04035,PALOMARES
04618,04035,"ROZAS (LAS)"
04619,04035,"PUENTE JAULA"
04620,04100,VERA-COSTA
04628,04016,"REAL (EL)"
04629,04016,JAURO
04630,04049,GARRUCHA
04638,04064,"MOJACAR PLAYA"
04639,04064,"ALPARATAS (LAS)"
04639,04093,TURRE
04640,04070,"MARGEN (EL)"
04640,04075,"FUENTE (LA)"
