codigo_postal,municipio_id,codigo_unidad_poblacional,entidad_singular_nombre,nucleo_nombre
01468,01002,0007501,Larrinbe,Larrinbe
01468,01002,0007599,Larrinbe,*Diseminado*
01468,01002,0011501,Saratxo,Saratxo
01468,01002,0011599,Saratxo,*Diseminado*
01468,01002,0012001,Tertanga,Tertanga
01468,01002,0012099,Tertanga,*Diseminado*
01470,01002,0002201,Amurrio,Amurrio
01470,01010,0005699,Etxegoien,*Diseminado*
01474,01004,0001701,Artziniega,Artziniega
01476,01010,0020601,Arespalditza/Respaldiza,Arespalditza/Respaldiza
01476,01010,0020699,Arespalditza/Respaldiza,*Diseminado*
01477,01010,0002299,Añes,*Diseminado*
01477,01010,0003899,Beotegi,*Diseminado*
01477,01010,0004399,Costera/Opellora,*Diseminado*
01477,01010,0006999,Erbi,*Diseminado*
01477,01010,0008199,Lejarzo/Lexartzu,*Diseminado*
01477,01010,0009499,Luxo/Lujo,*Diseminado*
01477,01010,0014101,Menagarai,Menagarai
01477,01010,0015401,Menoio,Menoio
01477,01010,0017399,Ozeka,*Diseminado*
01477,01010,0019299,Quejana/Kexaa,*Diseminado*
01477,01010,0021301,"Retes de Llanteno","Retes de Llanteno"
01477,01010,0024901,Zuaza/Zuhatza,Zuaza/Zuhatza
01478,01004,0002299,Campijo,*Diseminado*
01478,01004,0003899,Gordeliz,*Diseminado*
01478,01004,0004399,Mendieta,*Diseminado*
01478,01004,0005601,"Retes de Tudela/Erretes T","Retes de Tudela/Erretes T"
01478,01004,0006999,"Santa Koloma",*Diseminado*
01478,01004,0007599,Sojoguti/Soxoguti,*Diseminado*
01478,01010,0011501,Llanteno,Llanteno
01478,01010,0023499,Soxo/Sojo,*Diseminado*
01479,01010,0001799,Agiñaga,*Diseminado*
01479,01010,0007501,Izoria,Izoria
01479,01010,0012099,Madaria,*Diseminado*
01479,01010,0013699,Maroño,*Diseminado*
01479,01010,0016701,Murga,Murga
01479,01010,0018999,Olabezar,*Diseminado*
01479,01010,0022801,Salmanton,Salmanton
01510,01008,0003801,Betolaza,Betolaza
01510,01008,0004399,Ziriano,*Diseminado*
01510,01008,0007501,Luko,Luko
01510,01058,0004301,Urbina,Urbina
01510,01058,0004399,Urbina,*Diseminado*
01510,01059,0030401,"Gamarra Menor","Gamarra Menor"
01510,01059,0052101,"Miñao/Miñano Mayor","Miñao/Miñano Mayor"
01510,01059,0053701,"Miñano Menor/Miñao Gutxia","Miñano Menor/Miñao Gutxia"
01510,01059,0057401,Retana,Retana
01520,01008,0001701,Arroiabe,Arroiabe
01520,01008,0002299,Arzubiaga,*Diseminado*
01520,01008,0005601,Durana,Durana
01520,01008,0006901,Landa,Landa
01520,01008,0006999,Landa,*Diseminado*
01520,01008,0008101,Mendibil,Mendibil
01520,01008,0009401,"Nanclares de Ganboa/Langa","Nanclares de Ganboa/Langa"
01520,01008,0009499,"Nanclares de Ganboa/Langa",*Diseminado*
01520,01008,0010801,Ullivarri-Gamboa,Ullivarri-Gamboa
