codigo_postal,municipio_id,nombre_entidad_singular,year
04430,04055,INSTINCION,2013
04431,04054,ILLAR,2013
04440,04077,RAGOL,2013
04450,04030,CANJAYAR,2013
04458,04014,ALMOCITA,2013
04458,04023,BEIRES,2013
04458,04071,PADULES,2013
04459,04067,TICES,2013
04460,04046,FONDON,2013
04470,04057,"LAUJAR DE ANDARAX",2013
04479,04020,BAYARCAL,2013
04479,04046,"FUENTE VICTORIA",2013
04479,04073,"PATERNA DEL RIO",2013
04480,04007,ALCOLEA,2013
04500,04045,"VENTA RATONERA",2013
04510,04001,MONTAGON,2013
04520,04002,ABRUCENA,2013
04530,04901,OCAÑA,2013
04531,04005,ALBOLODUY,2013
04532,04901,SANTILLANA,2013
04533,04002,"CAMINO REAL",2013
04540,04065,"SANCHOS (LOS)",2013
04549,04050,GERGAL,2013
04550,04050,PORTOCARRERO,2013
04558,04005,"ALCUBILLAS ALTAS (LAS)",2013
04558,04050,"ESTACION (LA)",2013
04559,04050,"TABLAS (LAS)",2013
04560,04047,GADOR,2013
04567,04010,ALHABIA,2013
04568,04015,ALSODUX,2013
04568,04080,"SANTA CRUZ DE MARCHENA",2013
04569,04028,BENTARIQUE,2013
04569,04091,TERQUE,2013
04600,04006,ALBOX,2013
04600,04053,"SAN FRANCISCO",2013
04610,04035,JUCAINI,2013
04616,04035,VILLARICOS,2013
04617,04035,PALOMARES,2013
04618,04035,"VIZCAINO (EL)",2013
04619,04035,"PUENTE JAULA",2013
04620,04100,VERA,2013
04628,04016,"REAL (EL)",2013
04629,04016,JAURO,2013
04630,04049,GARRUCHA,2013
04638,04064,"MOJACAR PLAYA",2013
04639,04064,"ALPARATAS (LAS)",2013
04639,04093,TURRE,2013
04640,04070,"MARGEN (EL)",2013
04640,04075,"FUENTE (LA)",2013
04647,04035,"LOBOS (LOS)",2013
04647,04075,"FUENTE (LA)",2013
04648,04035,"POZO DEL ESPARTO (EL)",2013
04648,04075,"SAN JUAN DE TERREROS",2013
04649,04075,"ESTACION (LA)",2013
04650,04103,ZURGENA,2013
04659,04091,TERQUE,2013
04660,04017,"PERALTAS (LOS)",2013
04661,04089,"LLANOS (LOS)",2013
04661,04103,"LLANOS (LOS)",2013
04662,04053,"PILAR (EL)",2013
04662,04103,"PALACES (EL)",2013
04690,04053,"NORIAS (LAS)",2013
04691,04053,"RAMBLA GRANDE",2013
04692,04006,"LABORES (LAS)",2013
04692,04053,"CONCEPCION (LA)",2013
04692,04089,"RAMBLA DE TABERNO",2013
04693,04053,"SANTA MARIA DE NIEVA",2013
04694,04053,"SALTADOR (EL)",2013
04700,04902,"ENSENADA SAN MIGUEL",2013
04710,04902,"EJIDO (EL)",2013
04711,04902,"ENSENADA SAN MIGUEL",2013
04712,04902,BALERMA,2013
04713,04029,BALANEGRA,2013
04715,04902,MATAGORDA,2013
04716,04902,"NORIAS (LAS)",2013
04720,04079,"CAMPILLO DEL MORO",2013
04727,04102,"GANGOSA (LA)",2013
04728,04043,FELIX,2013
04729,04041,"PALMER (EL)",2013
04738,04102,"GANGOSA (LA)",2013
04740,04079,"MARINAS (LAS)",2013
04741,04079,"CORTIJOS DE MARIN",2013
04743,04079,"MARINAS (LAS)",2013
04745,04903,"MOJONERA (LA)",2013
04746,04903,"VENTA DEL VISO",2013
04750,04038,DALIAS,2013
04760,04029,CASTALA,2013
04768,04007,LUCAINENA,2013
